ii,dv,comp1,comp2,comp3,comp4,fracao_fiscal
3417477,1,BOX,5,PAV,74,",0219200"
3417478,9,BOX,6,PAV,74,",1096010"
3417479,7,BOX,7,PAV,74,",0626290"
3417480,5,BOX,"8,9",PAV,74,",0420130"
3417481,3,BOX,10,PAV,74,",0196230"
3417482,1,BOX,11,PAV,74,",0287050"
3417483,9,BOX,12,PAV,74,",0282700"
3417484,7,BOX,"13,14",PAV,74,",0808960"
3417485,4,BOX,"16 A,B",PAV,74,",0798280"
3417486,2,BOX,"16 C,D",PAV,74,",1383270"
3417487,0,BOX,16 E,PAV,74,",0496540"
3417488,8,BOX,1,PAV,75,",1836150"
3417489,6,BOX,2,PAV,75,",1836150"
3417490,4,BOX,3,PAV,75,",3556190"
3417491,2,BOX,5,PAV,75,",0246410"
3417492,0,BOX,6,PAV,75,",1512990"
3417493,8,BOX,7,PAV,75,",0442880"
3417494,6,BOX,15,PAV,75,",0569200"
3417495,3,BOX,1,PAV,76,",1240660"
3417496,1,BOX,2,PAV,76,",2560160"
3417497,9,BOX,4,PAV,76,",2037010"
3417498,7,BOX,5,PAV,76,",1975860"
3417499,5,BOX,6,PAV,76,",0633250"
3417500,0,BOX,7,PAV,76,",0272940"
3417501,8,BOX,20,PAV,76,",1280080"
3417502,6,BOX,1,PAV,77,",1343270"
3417503,4,BOX,2,PAV,77,",0831170"
3417504,2,BOX,"3,4",PAV,77,",4301700"
3417505,9,BOX,5,PAV,77,",1186920"
3417506,7,BOX,6,PAV,77,",1879640"
3417507,5,BOX,7,PAV,77,",0457270"
3417508,3,BOX,"1,2",PAV,78,",3111770"
3417509,1,BOX,"3,4",PAV,78,",2691090"
3417510,9,BOX,5,PAV,78,",1180440"
3417511,7,BOX,6,PAV,78,",1084620"
3417512,5,BOX,"7,8",PAV,78,",1932060"
3417513,3,PAV,79,,,"1,0000000"
3417516,6,PAV,100,,,"1,0000000"
3046781,5,PAV,200,,,"1,0000000"
3417517,4,PAV,300,,,"1,0000000"
3417518,2,PAV,400,,,"1,0000000"
3417519,0,PAV,500,,,"1,0000000"
3417520,8,PAV,600,,,"1,0000000"
3417521,6,PAV,700,,,"1,0000000"
3417522,4,BOX,GLP 17,PAV,700,"1,0000000"
3417523,2,PAV,800,,,"1,0000000"
3417524,0,PAV,900-1,,,"1,0000000"
3417525,7,PAV,900-2,,,"1,0000000"
3417528,1,PAV,DETRAN 1,,,"1,0000000"
3417529,9,PAV,DETRAN 2,,,"1,0000000"
3417530,7,PAV,DETRAN 3,,,"1,0000000"
