ii,dv,comp1,comp2,comp3,comp4,comp5,comp6,fracao_fiscal
3417367,4,BOX,42,PAV,42,,,"0,012946"
3417368,2,BOX,"43,45",PAV,42,,,"0,068217"
3417369,0,BOX,"44,46,48",PAV,42,,,"0,085113"
3417370,8,BOX,A,PAV,42,,,"0,002637"
3417371,6,BOX,B,PAV,42,,,"0,008071"
3417372,4,BOX,1,PAV,43,,,"0,023211"
3417373,2,BOX,"2,4",PAV,43,,,"0,069634"
3417374,0,BOX,3,PAV,43,,,"0,014886"
3417375,7,BOX,5,PAV,43,,,"0,018249"
3417376,5,BOX,6,PAV,43,,,"0,019971"
3417377,3,BOX,"7,9",PAV,43,,,"0,046422"
3417378,1,BOX,"8,1",PAV,43,,,"0,04865"
3417379,9,BOX,11,PAV,43,,,"0,021653"
3417380,7,BOX,"12,14",PAV,43,,,"0,030174"
3417381,5,BOX,"13,15",PAV,43,,,"0,045593"
3417382,3,BOX,"16,17,18",PAV,43,,,"0,064537"
3417383,1,BOX,"19,21",PAV,43,,,"0,046422"
3417384,9,BOX,"20,22,24",PAV,43,,,"0,062642"
3417385,6,BOX,23,PAV,43,,,"0,015091"
3417386,4,BOX,"25,26",PAV,43,,,"0,050113"
3417387,2,BOX,"27,28,30",PAV,43,,,"0,07587"
3417388,0,BOX,29,PAV,43,,,"0,011482"
3417389,8,BOX,"31,32,34",E,"36,38,40",PAV,43,"0,138276"
3417390,6,BOX,"37,39,41",PAV,43,,,"0,038571"
3417391,4,BOX,42,PAV,43,,,"0,017224"
3417392,2,BOX,43,PAV,43,,,"0,017224"
3417393,0,BOX,44,PAV,43,,,"0,011605"
3417394,8,BOX,45,PAV,43,,,"0,034448"
3417395,5,BOX,46,PAV,43,,,"0,023211"
3417396,3,BOX,48,PAV,43,,,"0,019684"
3417397,1,BOX,A,PAV,43,,,"0,01943"
3417398,9,BOX,B,PAV,43,,,"0,012302"
3417399,7,BOX,C,PAV,43,,,"0,003412"
3417400,3,BOX,"1,3",PAV,44,,,"0,056726"
3417401,1,BOX,"2,4,6",PAV,44,,,"0,037002"
3417402,9,BOX,5,PAV,44,,,"0,017348"
3417403,7,BOX,8,PAV,44,,,"0,01529"
3417404,5,BOX,"7,9",PAV,44,,,"0,030701"
3417405,2,BOX,10 A 14,PAV,44,,,"0,114058"
3417406,0,BOX,"15,16",PAV,44,,,"0,023485"
3417407,8,BOX,17,PAV,44,,,"0,014031"
3417408,6,BOX,18,PAV,44,,,"0,018708"
3417409,4,BOX,"19,21",PAV,44,,,"0,023385"
3417410,2,BOX,20,PAV,44,,,"0,01869"
3417411,0,BOX,23,PAV,44,,,"0,011358"
3417412,8,BOX,"22,24 A 29",PAV,44,,,"0,171386"
